agent_id,year,cumulative_state,elevated,has_insurance,relocated,trust_insurance,trust_neighbors
Agent_1,1,Only Flood Insurance,False,True,False,0.26,0.37
Agent_10,1,Only Flood Insurance,False,True,False,0.22,0.45999999999999996
Agent_100,1,Only Flood Insurance,False,True,False,0.24,0.47
Agent_11,1,Do Nothing,False,False,False,0.22,0.52
Agent_12,1,Do Nothing,False,False,False,0.26999999999999996,0.35
Agent_13,1,Do Nothing,False,False,False,0.21000000000000002,0.43
Agent_14,1,Do Nothing,False,False,False,0.26999999999999996,0.49
Agent_15,1,Do Nothing,False,False,False,0.43,0.48
Agent_16,1,Only Flood Insurance,False,True,False,0.35000000000000003,0.45
Agent_17,1,Do Nothing,False,False,False,0.26999999999999996,0.51
Agent_18,1,Only Flood Insurance,False,True,False,0.25,0.41
Agent_19,1,Do Nothing,False,False,False,0.44999999999999996,0.35
Agent_2,1,Only Flood Insurance,False,True,False,0.22,0.45999999999999996
Agent_20,1,Only Flood Insurance,False,True,False,0.39,0.38
Agent_21,1,Only Flood Insurance,False,True,False,0.46,0.37
Agent_22,1,Only Flood Insurance,False,True,False,0.51,0.47
Agent_23,1,Do Nothing,False,False,False,0.24000000000000002,0.53
Agent_24,1,Do Nothing,False,False,False,0.45999999999999996,0.49
Agent_25,1,Only Flood Insurance,False,True,False,0.25,0.45999999999999996
Agent_26,1,Only Flood Insurance,False,True,False,0.30000000000000004,0.33999999999999997
Agent_27,1,Do Nothing,False,False,False,0.32,0.37
Agent_28,1,Do Nothing,False,False,False,0.31,0.52
Agent_29,1,Only Flood Insurance,False,True,False,0.29000000000000004,0.41
Agent_3,1,Only Flood Insurance,False,True,False,0.48000000000000004,0.37
Agent_30,1,Only Flood Insurance,False,True,False,0.26,0.44
Agent_31,1,Do Nothing,False,False,False,0.27999999999999997,0.37
Agent_32,1,Do Nothing,False,False,False,0.31,0.39
Agent_33,1,Only Flood Insurance,False,True,False,0.48000000000000004,0.54
Agent_34,1,Only Flood Insurance,False,True,False,0.41000000000000003,0.52
Agent_35,1,Do Nothing,False,False,False,0.25,0.45
Agent_36,1,Only Flood Insurance,False,True,False,0.52,0.35
Agent_37,1,Only Flood Insurance,False,True,False,0.48000000000000004,0.5
Agent_38,1,Only Flood Insurance,False,True,False,0.43,0.39999999999999997
Agent_39,1,Do Nothing,False,False,False,0.42,0.43
Agent_4,1,Only Flood Insurance,False,True,False,0.29000000000000004,0.37
Agent_40,1,Only Flood Insurance,False,True,False,0.29000000000000004,0.51
Agent_41,1,Do Nothing,False,False,False,0.47,0.33999999999999997
Agent_42,1,Do Nothing,False,False,False,0.32999999999999996,0.41
Agent_43,1,Only Flood Insurance,False,True,False,0.36000000000000004,0.43
Agent_44,1,Do Nothing,False,False,False,0.42,0.39
Agent_45,1,Only Flood Insurance,False,True,False,0.45,0.43
Agent_46,1,Do Nothing,False,False,False,0.43,0.43
Agent_47,1,Do Nothing,False,False,False,0.33999999999999997,0.35
Agent_48,1,Do Nothing,False,False,False,0.45999999999999996,0.39
Agent_49,1,Only Flood Insurance,False,True,False,0.49,0.54
Agent_5,1,Only Flood Insurance,False,True,False,0.25,0.33999999999999997
Agent_50,1,Only Flood Insurance,False,True,False,0.46,0.43
Agent_51,1,Only Flood Insurance,False,True,False,0.48000000000000004,0.45999999999999996
Agent_52,1,Do Nothing,False,False,False,0.43,0.36
Agent_53,1,Do Nothing,False,False,False,0.26999999999999996,0.42
Agent_54,1,Do Nothing,False,False,False,0.45999999999999996,0.41
Agent_55,1,Do Nothing,False,False,False,0.38999999999999996,0.45999999999999996
Agent_56,1,Only Flood Insurance,False,True,False,0.49,0.37
Agent_57,1,Do Nothing,False,False,False,0.47,0.39999999999999997
Agent_58,1,Only Flood Insurance,False,True,False,0.45,0.48
Agent_59,1,Do Nothing,False,False,False,0.26,0.37
Agent_6,1,Only Flood Insurance,False,True,False,0.32,0.37
Agent_60,1,Do Nothing,False,False,False,0.24000000000000002,0.39999999999999997
Agent_61,1,Only Flood Insurance,False,True,False,0.30000000000000004,0.33999999999999997
Agent_62,1,Do Nothing,False,False,False,0.37,0.39999999999999997
Agent_63,1,Do Nothing,False,False,False,0.23,0.36
Agent_64,1,Do Nothing,False,False,False,0.32999999999999996,0.41
Agent_65,1,Only Flood Insurance,False,True,False,0.22999999999999998,0.39999999999999997
Agent_66,1,Do Nothing,False,False,False,0.23,0.45
Agent_67,1,Do Nothing,False,False,False,0.23,0.39
Agent_68,1,Do Nothing,False,False,False,0.31,0.42
Agent_69,1,Do Nothing,False,False,False,0.27999999999999997,0.41
Agent_7,1,Do Nothing,False,False,False,0.43,0.36
Agent_70,1,Do Nothing,False,False,False,0.32,0.5
Agent_71,1,Only Flood Insurance,False,True,False,0.42000000000000004,0.48
Agent_72,1,Only Flood Insurance,False,True,False,0.27,0.41
